flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids
2407160643,C3.8,2024-07-16 06:39:52.383000+00:00,2024-07-16 06:51:40.384000+00:00,2024-07-16 06:39:52.383000+00:00,2024-07-16 06:51:40.384000+00:00,708,1,['G0002'],[1405147368]
2407170109,C3.8,2024-07-17 00:57:12.502000+00:00,2024-07-17 01:17:44.504000+00:00,2024-07-17 00:57:12.502000+00:00,2024-07-17 01:17:44.504000+00:00,1232,1,"['G0002', 'G0002']","[1405213256, 1405213864]"
2410220251,C3.8,2024-10-22 02:37:12.081000+00:00,2024-10-22 03:37:16.090000+00:00,2024-10-22 02:37:12.081000+00:00,2024-10-22 03:37:16.090000+00:00,3604,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1413599944, 1413600552, 1413601152, 1413601752, 1413602360, 1413602960]"
2408040644,C3.7,2024-08-04 06:39:55.666000+00:00,2024-08-04 06:47:11.667000+00:00,2024-08-04 06:39:55.666000+00:00,2024-08-04 06:47:11.667000+00:00,436,1,['G0002'],[1406789184]
2408070741,C3.7,2024-08-07 07:37:15.644000+00:00,2024-08-07 07:48:27.646000+00:00,2024-08-07 07:37:15.644000+00:00,2024-08-07 07:48:27.646000+00:00,672,1,['G0002'],[1407051856]
2408180641,C3.7,2024-08-18 06:31:59.276000+00:00,2024-08-18 06:50:43.278000+00:00,2024-08-18 06:31:59.276000+00:00,2024-08-18 06:50:43.278000+00:00,1124,1,"['G0002', 'G0002']","[1407997960, 1407998568]"
2409030646,C3.7,2024-09-03 06:40:36.510000+00:00,2024-09-03 06:49:12.511000+00:00,2024-09-03 06:40:36.510000+00:00,2024-09-03 06:49:12.511000+00:00,516,1,['G0002'],[1409380936]
2409070133,C3.7,2024-09-07 01:30:16.813000+00:00,2024-09-07 01:41:48.814000+00:00,2024-09-07 01:30:16.813000+00:00,2024-09-07 01:41:48.814000+00:00,692,1,['G0002'],[1409708472]
2409110607,C3.7,2024-09-11 06:05:56.580000+00:00,2024-09-11 06:13:32.581000+00:00,2024-09-11 06:05:56.580000+00:00,2024-09-11 06:13:32.581000+00:00,456,1,['G0002'],[1410070408]
2408160639,C3.6,2024-08-16 06:36:51.860000+00:00,2024-08-16 06:43:35.860000+00:00,2024-08-16 06:36:51.860000+00:00,2024-08-16 06:43:35.860000+00:00,404,1,['G0002'],[1407825768]
