flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids,obs_names,calibrator_obs_ids,calibrator_obs_names,calibrator_time_diff_hr
2408110515,C5.0,2024-08-11 05:11:35.760000+00:00,2024-08-11 05:19:51.661000+00:00,2024-08-11 05:11:35.760000+00:00,2024-08-11 05:19:51.661000+00:00,495,1,['G0002'],[1407388712],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']","[1407362600, 1407406760]","['Oberoi2024A_Cal_PicA_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_HerA_Ch[58,61,...,210,226]']","[7.25, 5.01]"
2501170350,C5.0,2025-01-17 03:47:05.470000+00:00,2025-01-17 03:56:33.471000+00:00,2025-01-17 03:47:05.470000+00:00,2025-01-17 03:56:33.471000+00:00,568,1,['G0002'],[1421121272],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410100254,C4.9,2024-10-10 02:43:23.758000+00:00,2024-10-10 03:16:55.762000+00:00,2024-10-10 02:43:23.758000+00:00,2024-10-10 03:16:55.762000+00:00,2012,1,"['G0002', 'G0002', 'G0002']","[1412563896, 1412564496, 1412565104]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411070606,C4.9,2024-11-07 05:58:45.351000+00:00,2024-11-07 06:16:09.353000+00:00,2024-11-07 05:58:45.351000+00:00,2024-11-07 06:16:09.353000+00:00,1044,1,"['G0002', 'G0002']","[1414994352, 1414994952]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502280738,C4.9,2025-02-28 07:20:37.984000+00:00,2025-02-28 07:59:05.989000+00:00,2025-02-28 07:20:37.984000+00:00,2025-02-28 07:59:05.989000+00:00,2308,1,"['G0002', 'G0002', 'G0002']","[1424763008, 1424763608, 1424764208]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411100140,C4.8,2024-11-10 01:09:33.195000+00:00,2024-11-10 01:44:53.199000+00:00,2024-11-10 01:09:33.195000+00:00,2024-11-10 01:44:53.199000+00:00,2120,1,"['G0002', 'G0002', 'G0002']","[1415236672, 1415237280, 1415237880]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410120221,C4.7,2024-10-12 02:17:24.077000+00:00,2024-10-12 02:26:08.078000+00:00,2024-10-12 02:17:24.077000+00:00,2024-10-12 02:26:08.078000+00:00,524,1,['G0002'],[1412734992],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410310517,C4.7,2024-10-31 05:15:22.237000+00:00,2024-10-31 05:22:02.238000+00:00,2024-10-31 05:15:22.237000+00:00,2024-10-31 05:22:02.238000+00:00,400,1,['G0002'],[1414387136],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501181109,C4.7,2025-01-18 10:53:09.474000+00:00,2025-01-18 11:26:25.478000+00:00,2025-01-18 10:53:09.474000+00:00,2025-01-18 11:26:25.478000+00:00,1996,1,"['G0002', 'G0002']","[1421233848, 1421233984]","['YAMAGAWA_SolarTrigger_2025118_Cal_PicA_Ch[131,132,...,156,157]', 'YAMAGAWA_SolarTrigger_2025118_Cal_PicA_Ch[159,160,...,220,225]']",[],[],[]
2410160241,C4.6,2024-10-16 02:35:28.120000+00:00,2024-10-16 02:56:36.123000+00:00,2024-10-16 02:35:28.120000+00:00,2024-10-16 02:56:36.123000+00:00,1268,1,"['G0002', 'G0002']","[1413081648, 1413082256]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
